,work_year,experience_level,employment_type,job_title,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
457,2020,EN,FT,Data Scientist,EUR,39916,FR,0,FR,M
458,2020,MI,FT,Data Engineer,EUR,74130,AT,50,AT,L
459,2020,EN,CT,Business Data Analyst,USD,100000,US,100,US,L
460,2021,MI,FT,Data Architect,USD,170000,US,100,US,L
461,2021,SE,FT,Data Engineering Manager,USD,150000,US,0,US,L
462,2021,MI,FT,Research Scientist,CAD,63810,CA,100,CA,M
463,2022,MI,FT,Data Analyst,USD,135000,US,100,US,M
464,2022,MI,FT,Machine Learning Engineer,AUD,87425,AU,100,AU,L
465,2021,MI,FT,Data Scientist,GBP,116914,GB,50,GB,L
466,2022,SE,FT,Data Scientist,USD,205300,US,0,US,L
467,2021,MI,FT,Cloud Data Engineer,SGD,89294,SG,50,SG,L
468,2020,EN,FT,Data Analyst,USD,91000,US,100,US,L
469,2021,SE,FT,Data Scientist,CAD,103691,CA,100,CA,L
470,2022,EN,FT,Data Analytics Engineer,USD,20000,PK,0,PK,M
471,2022,SE,FT,Data Science Manager,USD,137141,US,100,US,M
472,2022,MI,FT,Data Analyst,USD,20000,GR,100,GR,S
473,2021,EN,FT,Machine Learning Engineer,USD,81000,US,50,US,S
474,2022,MI,FT,Machine Learning Infrastructure Engineer,EUR,58255,PT,50,PT,L
475,2022,SE,FT,Machine Learning Engineer,USD,214000,US,100,US,M
476,2020,EX,FT,Data Engineering Manager,EUR,79833,ES,50,ES,L
477,2022,SE,FT,Data Engineer,USD,25000,US,100,US,M
479,2021,SE,FT,Machine Learning Engineer,USD,200000,US,100,US,L
481,2021,MI,PT,Data Engineer,EUR,69741,NL,100,NL,L
482,2022,SE,FT,Data Architect,USD,192400,CA,100,CA,M
483,2022,MI,FT,Data Engineer,GBP,117789,GB,0,GB,M
484,2021,MI,FT,Data Analyst,USD,93000,US,100,US,L
486,2020,SE,FT,Machine Learning Engineer,USD,150000,US,50,US,L
489,2022,MI,FT,Data Scientist,USD,102100,US,0,US,M
490,2022,MI,FT,Data Analyst,EUR,43966,ES,100,ES,M
491,2021,MI,FT,Data Analyst,USD,75000,US,0,US,L
492,2021,SE,FT,Data Scientist,CAD,87738,CA,100,CA,S
493,2022,SE,FT,Data Engineer,USD,180000,US,100,US,M
494,2022,SE,FT,Data Scientist,USD,144000,US,100,US,M
496,2021,EN,FT,Big Data Engineer,INR,5882,IN,0,CH,L
497,2022,SE,FT,Data Architect,USD,90700,CA,100,CA,M
498,2021,MI,FT,Data Engineer,GBP,82528,GB,100,GB,L
499,2021,EN,FT,Computer Vision Software Engineer,USD,70000,US,100,US,M
